SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
VS336,4900 SUNSET BL,Single-Space,FLAT,$1.00,2HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat",,"(34.098024, -118.296664)"
ED396,700 E PICO BLVD,Single-Space,TOD,$0.5 - $1,2HR,8A-6P Mon-Sat,,"(34.032054, -118.252521)"
CB211A,1300 S GRAND AVE,Single-Space,FLAT,$0.50,4HR,8A-8P Mon-Sat,,"(34.038125, -118.264675)"
SL408,3100 SUNSET BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.084343, -118.274463)"
VN1,7001 VAN NUYS BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.198035, -118.44891)"
HO1021A,1700 EL CERRITO PL,Single-Space,TOD,$1.5 - $3,2HR,"TANS 8A-5A Fri | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",12P-3P Mon,"(34.102349, -118.344672)"
WU759,800 BEACON AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-3P Thu,"(34.051792, -118.27393)"
CB118,1301 S HOPE ST,Single-Space,TOD,$1 - $2,4HR,8A-8P Mon-Sat,,"(34.039121, -118.266015)"
WF60,8201 3RD ST,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.072672, -118.369344)"
WS490,1600 PONTIUS AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.04847, -118.445724)"
WU267,600 BIXEL ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-3P Fri,"(34.052744, -118.262942)"
OS521,12300 OLYMPIC BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.031765, -118.456463)"
VN1001,14401 GILMORE ST,Single-Space,TOD,$0.5 - $1,2HR,8A-8P Mon-Sat,10A-12P Mon,"(34.187711, -118.447842)"
VW164,2900 8TH ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.057641, -118.290637)"
WN281A,100 W. G ST,Single-Space,FLAT,$0.50,2HR,8A-6P Mon-Sat,,"(33.778415, -118.263185)"
RS106,9000 HARGIS ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Tue,"(34.035939, -118.389367)"
CB494,1400 S SANTEE ST,Single-Space,TOD,$0.5 - $1,2HR,8A-6P Mon-Sat,,"(34.033455, -118.259546)"
WS278,2001 WESTWOOD BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.045973, -118.433669)"
CB4005,300 E 16TH ST,Single-Space,FLAT,$0.50,4HR,TANS 4P-6P Mon-Fri | PKG 8A-4P Mon-Sat,,"(34.032265, -118.260317)"
WH142,21101 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.16718, -118.593401)"
WW388,600 OXFORD AV,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,10A-1P Thu,"(34.06002, -118.307734)"
AE155A,701 E 2ND ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.047225, -118.235352)"
R255,18300 SHERMAN WAY,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,4A-630A Mon-Fri,"(34.201022, -118.533173)"
VW966,3501 3RD ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.069142, -118.293717)"
VW1888,300 S KENMORE AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Thu,"(34.068738, -118.296571)"
