Route No,Council District,Time Start,Time End,Boundaries
* 17P100,2,10:00 AM,12:00 PM,Chandler Bl. to Ventura Fwy / Colfax Av. to Laurel Cyn. Bl.
*17P100,2,10:00 AM,12:00 PM,Chandler Bl. to Ventura Fwy / Colfax Av. to Laurel Cyn. Bl.
10P136 Th,10,8:00 AM,10:00 AM,La Brea Ave to Arlington Ave- Santa Monica Fwy to Adams Blvd
10P136 W,10,8:00 AM,10:00 AM,La Brea Ave to Arlington Ave -Santa Monica Fwy to Adams Blvd
10P137 M,10,9:00 AM,11:00 AM,Adams Blvd to Jefferson Blvd - La Cienega Blvd to Hauser Blvd
10P137 Tu,10,9:00 AM,11:00 AM,Adams Blvd to Jefferson Blvd - La Cienega Blvd to Hauser Blvd
10P138 M,10,10:00 AM,12:00 PM,Adams Blvd to Jefferson Blvd - Hauser Blvd to La Brea Ave
10P138 Tu,10,10:00 AM,12:00 PM,Adams Blvd to Jefferson Blvd - Hauser Blvd to La Brea Ave
10P139 M,10,12:00 PM,2:00 PM,Jefferson Blvd to Coliseum St- Hauser Ave to Holdrege Ave
10P139 Tu,10,12:00 PM,2:00 PM,Jefferson Blvd to Coliseum St- Hauser Ave to Holdrege Ave
10P140 M,10,1:00 PM,3:00 PM,Exposition Blvd to Coliseum St - Hauser Blvd to La Brea Ave
10P140 Tu,10,1:00 PM,3:00 PM,Exposition Blvd to Coliseum St - Hauser Blvd to La Brea Ave
10P141 M,10,8:00 AM,10:00 AM,Adams Blvd to Santa Monica Fwy - La Brea Ave to Fairfax Ave
10P141 Tu,10,8:00 AM,10:00 AM,Adams Blvd to Santa Monica Fwy - La Brea Ave to Fairfax Ave
10P142 Th,10,10:00 AM,12:00 PM,Adams Blvd to Jefferson Blvd - Arlington Ave to Edgehill Dr
10P142 W,10,10:00 AM,12:00 PM,Adams Blvd to Jefferson Blvd - Arlington Ave to Edgehill Dr
10P143 Th,10,11:00 AM,1:00 PM,Adams Blvd to Jefferson Blvd - Crenshaw Blvd to Edgehill Dr
10P143 W,10,11:00 AM,1:00 PM,Adams Blvd to Jefferson Blvd - Crenshaw Blvd to Edgehill Dr
10P144 Th,10,1:00 PM,3:00 PM,Adams Blvd to Exposition Blvd - West Blvd to Crenshaw Blvd
10P144 W,10,1:00 PM,3:00 PM,Adams Blvd to Exposition Blvd -West Blvd to Crenshaw Blvd
10P145 Th,8,8:00 AM,10:00 AM,Santa Monica Fwy to Jefferson Blvd- Normandie Ave to Western Av
10P145 W,8,8:00 AM,10:00 AM,Santa Monica Fwy to Jefferson Blvd - Normandie Ave to Western Av
10P146 Th,8,9:00 AM,11:00 AM,Santa Monica Fwy to Adams Blvd- Normandie Ave to Vermont Ave
10P146 W,8,9:00 AM,11:00 AM,Santa Monica Fwy to Adams Blvd- Normandie Ave to Vermont Ave
10P147 Th,8,10:00 AM,12:00 PM,Adams Blvd to Jefferson Blvd - Normandie Ave to Vermont Ave
10P147 W,8,10:00 AM,12:00 PM,Adams Blvd to Jefferson Blvd - Normandie Ave to Vermont Ave
10P148 Th,8,12:00 PM,2:00 PM,Vermont Ave to Normandie Ave - Jefferson Blvd to Exposition Blvd
10P148 W,8,12:00 PM,2:00 PM,Vermont Ave to Normandie Ave - Jefferson Blvd to Exposition Blvd
