date,count,fines
2015-01-01,857,63149.0
2015-01-02,9268,655200.0
2015-01-03,1108,74280.0
2015-01-04,2126,150785.0
2015-01-05,8226,561739.0
2015-01-06,8523,579278.0
2015-01-07,8346,569891.0
2015-01-08,8588,587892.0
2015-01-09,7541,515563.0
2015-01-10,1570,105742.0
2015-01-11,2064,142142.0
2015-01-12,8395,571723.0
2015-01-13,8829,602484.0
2015-01-14,8431,581820.0
2015-01-15,8588,592766.0
2015-01-16,7360,505744.0
2015-01-17,1487,102706.0
2015-01-18,2691,185992.0
2015-01-19,1164,82074.0
2015-01-20,8872,611645.0
2015-01-21,7642,517784.0
2015-01-22,8228,566726.0
2015-01-23,7342,506832.0
2015-01-24,1483,99490.0
2015-01-25,2760,188564.0
2015-01-26,8751,599404.0
2015-01-27,9061,621229.0
2015-01-28,8861,611407.0
2015-01-29,8600,594341.0
2015-01-30,5630,386747.0
2015-01-31,1802,121338.0
2015-02-01,2440,165842.0
2015-02-02,8406,570697.0
2015-02-03,8776,591554.0
2015-02-04,8300,563819.0
2015-02-05,9167,632914.0
2015-02-06,7737,526153.0
2015-02-07,1810,121058.0
2015-02-08,2591,180379.0
2015-02-09,7924,543587.0
2015-02-10,6230,432484.0
2015-02-11,8098,559273.0
2015-02-12,8058,564237.0
2015-02-13,7410,510240.0
2015-02-14,1676,112812.0
2015-02-15,2446,170207.0
2015-02-16,1212,86807.0
2015-02-17,7923,536290.0
2015-02-18,7529,513589.0
2015-02-19,7477,508888.0
2015-02-20,6796,458222.0
2015-02-21,1465,97383.0
2015-02-22,2409,172257.0
2015-02-23,8055,559185.0
2015-02-24,8432,574005.0
2015-02-25,7776,535233.0
2015-02-26,8091,562690.0
2015-02-27,7175,492055.0
2015-02-28,1522,100065.0
2015-03-01,2296,155873.0
2015-03-02,8397,576558.0
2015-03-03,8550,588005.0
2015-03-04,8867,602655.0
2015-03-05,8887,614553.0
2015-03-06,8043,546990.0
2015-03-07,1415,96705.0
2015-03-08,2475,171141.0
2015-03-09,8765,611010.0
2015-03-10,9180,631598.0
2015-03-11,8954,626409.0
2015-03-12,8477,586617.0
2015-03-13,7595,521956.0
2015-03-14,1308,89437.0
2015-03-15,2466,176844.0
2015-03-16,8608,598794.0
2015-03-17,8903,617684.0
2015-03-18,8335,580607.0
2015-03-19,8127,565693.0
2015-03-20,7323,507907.0
2015-03-21,1464,100120.0
2015-03-22,2630,189388.0
2015-03-23,8038,557517.0
2015-03-24,8269,569914.0
2015-03-25,7371,521392.0
2015-03-26,7987,567107.0
2015-03-27,6905,484311.0
2015-03-28,905,67001.0
2015-03-29,2682,187773.0
2015-03-30,4375,306608.0
2015-03-31,8029,562253.0
2015-04-01,3190,221824.0
2015-04-02,6826,476418.0
2015-04-03,7064,506621.0
2015-04-04,1123,75433.0
2015-04-05,2216,165597.0
2015-04-06,7927,563985.0
2015-04-07,8121,565857.0
2015-04-08,7701,545368.0
2015-04-09,8059,572888.0
2015-04-10,1021,72671.0
2015-04-11,1106,83705.0
2015-04-12,2459,171877.0
2015-04-13,7936,559642.0
2015-04-14,7774,536457.0
2015-04-15,7527,527392.0
2015-04-16,7767,543238.0
2015-04-17,6852,470960.0
2015-04-18,757,52894.0
2015-04-19,2423,168643.0
2015-04-20,7570,528996.0
2015-04-21,8696,608412.0
2015-04-22,7996,556787.0
2015-04-23,8518,605480.0
2015-04-24,7360,516195.0
2015-04-25,901,66501.0
2015-04-26,2432,165070.0
2015-04-27,7810,547366.0
2015-04-28,8380,589219.0
2015-04-29,7420,516471.0
2015-04-30,8142,576213.0
2015-05-01,8386,586567.0
2015-05-02,405,31730.0
2015-05-03,2273,159116.0
2015-05-04,7990,548739.0
2015-05-05,8542,595461.0
2015-05-06,7841,550412.0
2015-05-07,8318,585812.0
2015-05-08,7269,503594.0
2015-05-09,660,44305.0
2015-05-10,2425,169631.0
2015-05-11,8149,567992.0
2015-05-12,8994,615908.0
2015-05-13,8746,607983.0
2015-05-14,8290,587484.0
2015-05-15,401,30627.0
2015-05-16,580,41902.0
2015-05-17,2417,169897.0
2015-05-18,8152,574140.0
2015-05-19,8553,595804.0
2015-05-20,8300,577328.0
2015-05-21,8798,609033.0
2015-05-22,8139,566885.0
2015-05-23,772,50904.0
2015-05-24,2719,188928.0
2015-05-25,1409,100972.0
2015-05-26,9267,643774.0
2015-05-27,7888,547149.0
2015-05-28,7962,570515.0
2015-05-29,7559,524051.0
2015-05-30,696,54123.0
2015-05-31,2588,182369.0
2015-06-01,8271,576883.0
2015-06-02,8051,553965.0
2015-06-03,8634,600745.0
2015-06-04,8855,620036.0
2015-06-05,8258,575727.0
2015-06-06,919,62887.0
2015-06-07,2608,175945.0
2015-06-08,8846,620415.0
2015-06-09,9275,635312.0
2015-06-10,8734,597307.0
2015-06-11,8908,618582.0
2015-06-12,8200,567858.0
2015-06-13,582,40007.0
2015-06-14,2309,157824.0
2015-06-15,8478,593044.0
2015-06-16,8901,623703.0
2015-06-17,8794,613080.0
2015-06-18,8394,584711.0
2015-06-19,7627,536622.0
2015-06-20,929,69996.0
2015-06-21,2326,166840.0
2015-06-22,8430,588238.0
2015-06-23,8744,602196.0
2015-06-24,8321,580639.0
2015-06-25,8438,601849.0
2015-06-26,7268,504300.0
2015-06-27,836,61754.0
2015-06-28,2478,176409.0
2015-06-29,7946,560862.0
2015-06-30,8650,601353.0
2015-07-01,9144,664213.0
2015-07-02,7396,536368.0
2015-07-03,395,33599.0
2015-07-04,471,34806.0
2015-07-05,2326,166975.0
2015-07-06,7494,543783.0
2015-07-07,8678,617648.0
2015-07-08,8496,600695.0
2015-07-09,7554,530550.0
2015-07-10,7929,548534.0
2015-07-11,722,62596.0
2015-07-12,2460,175700.0
2015-07-13,8265,588176.0
2015-07-14,8873,626059.0
2015-07-15,8604,606406.0
2015-07-16,8426,597514.0
2015-07-17,7632,538302.0
2015-07-18,460,32815.0
2015-07-19,2339,168134.0
2015-07-20,7894,571994.0
2015-07-21,8276,587622.0
2015-07-22,8022,573435.0
2015-07-23,8072,570734.0
2015-07-24,7358,522360.0
2015-07-25,697,57858.0
2015-07-26,2652,194473.0
2015-07-27,7780,554746.0
2015-07-28,8489,608267.0
2015-07-29,7859,554989.0
2015-07-30,8136,576508.0
2015-07-31,7927,553338.0
2015-08-01,565,38210.0
2015-08-02,2547,180596.0
2015-08-03,8178,590549.0
2015-08-04,8743,610607.0
2015-08-05,8316,584047.0
2015-08-06,8104,570373.0
2015-08-07,8005,565891.0
2015-08-08,726,49350.0
2015-08-09,2366,167305.0
2015-08-10,8423,594663.0
2015-08-11,8930,632365.0
2015-08-12,8560,606749.0
2015-08-13,8930,630046.0
2015-08-14,7913,560116.0
2015-08-15,633,41273.0
2015-08-16,2173,151030.0
2015-08-17,7736,550995.0
2015-08-18,8582,595818.0
2015-08-19,7697,538588.0
2015-08-20,8349,586564.0
2015-08-21,7707,534290.0
2015-08-22,566,42032.0
2015-08-23,2361,172032.0
2015-08-24,8241,571986.0
2015-08-25,8730,610223.0
2015-08-26,8045,566623.0
2015-08-27,8376,591291.0
2015-08-28,7935,562391.0
2015-08-29,646,48263.0
2015-08-30,2535,186908.0
2015-08-31,7981,563038.0
2015-09-01,8310,574515.0
2015-09-02,8207,566466.0
2015-09-03,8148,569268.0
2015-09-04,8103,561624.0
2015-09-05,720,49878.0
2015-09-06,2567,178418.0
2015-09-07,1686,123222.0
2015-09-08,8468,591677.0
2015-09-09,7988,553509.0
2015-09-10,7899,549171.0
2015-09-11,7510,520909.0
2015-09-12,5311,357404.0
2015-09-13,2292,159454.0
2015-09-14,7553,523732.0
2015-09-15,6001,411063.0
2015-09-16,8399,583206.0
2015-09-17,8663,607163.0
2015-09-18,7806,532709.0
2015-09-19,548,38844.0
2015-09-20,2376,173758.0
2015-09-21,7764,544148.0
2015-09-22,8362,579356.0
2015-09-23,7517,521451.0
2015-09-24,8213,584695.0
2015-09-25,7957,563671.0
2015-09-26,535,35914.0
2015-09-27,2273,165682.0
2015-09-28,7145,496454.0
2015-09-29,7899,539991.0
2015-09-30,8561,607326.0
2015-10-01,8493,593259.0
2015-10-02,7886,551507.0
