,group,order,lat,long
0,0,0,33.984622,-118.470849
1,0,1,33.98493,-118.470343
2,0,2,33.984668,-118.470774
3,0,3,33.984961,-118.470293
4,0,4,33.984769,-118.470606
5,0,5,33.984884,-118.470421
6,0,6,33.984593,-118.470898
7,1,7,33.979206,-118.466809
8,2,8,33.988009,-118.473198
9,2,9,33.988057,-118.473124
10,2,10,33.987842,-118.473444
11,2,11,33.987891,-118.473372
12,2,12,33.987808,-118.473497
13,2,13,33.988092,-118.47307
14,2,14,33.987929,-118.473316
15,2,15,33.988139,-118.473
16,2,16,33.987976,-118.473247
17,2,17,33.988173,-118.472947
18,3,18,33.987405,-118.472604
19,3,19,33.987257,-118.472842
20,3,20,33.98747,-118.472499
21,3,21,33.987191,-118.472948
22,3,22,33.987273,-118.472816
23,3,23,33.987388,-118.472631
24,3,24,33.987208,-118.472922
25,3,25,33.987175,-118.472975
26,3,26,33.987454,-118.472525
27,3,27,33.987487,-118.472472
28,3,28,33.987372,-118.472657
29,3,29,33.98729,-118.472789
30,3,30,33.987437,-118.472551
31,3,31,33.987224,-118.472895
32,3,32,33.987503,-118.472446
33,3,33,33.987158,-118.473001
34,3,34,33.987339,-118.47271
35,3,35,33.987323,-118.472737
36,3,36,33.987355,-118.472684
37,3,37,33.98724,-118.472869
38,3,38,33.98752,-118.472419
39,3,39,33.987421,-118.472578
40,4,40,33.979534,-118.465848
41,4,41,33.979316,-118.46623
42,4,42,33.979423,-118.466046
43,4,43,33.979084,-118.466631
44,4,44,33.979362,-118.466149
45,4,45,33.9793,-118.46626
46,4,46,33.979516,-118.465878
47,4,47,33.979034,-118.466718
48,4,48,33.979098,-118.466608
49,4,49,33.979436,-118.466018
50,4,50,33.979047,-118.466696
51,4,51,33.979375,-118.466126
52,4,52,33.979346,-118.466176
53,4,53,33.979022,-118.46674
54,4,54,33.9795,-118.465907
55,4,55,33.979391,-118.466099
56,4,56,33.979112,-118.466584
57,4,57,33.979451,-118.465992
58,4,58,33.979059,-118.466674
59,4,59,33.979008,-118.466762
60,4,60,33.979486,-118.465932
61,4,61,33.979329,-118.466206
62,4,62,33.979407,-118.466071
63,4,63,33.979071,-118.466653
64,4,64,33.979468,-118.465963
65,4,65,33.979548,-118.465822
66,5,66,33.979283,-118.466286
67,5,67,33.979265,-118.466321
68,6,68,34.029272,-118.266918
69,6,69,34.02952,-118.267468
70,6,70,34.028985,-118.266281
71,6,71,34.029244,-118.266859
72,6,72,34.029545,-118.267525
73,6,73,34.029049,-118.266428
74,7,74,34.028968,-118.268049
75,7,75,34.028859,-118.267813
76,7,76,34.029106,-118.268363
77,7,77,34.028992,-118.268103
78,7,78,34.028833,-118.267756
79,7,79,34.028896,-118.267893
80,8,80,33.737924,-118.280912
81,9,81,34.047783,-118.237959
82,9,82,34.047517,-118.237955
83,9,83,34.047445,-118.237955
84,9,84,34.047914,-118.23796
85,9,85,34.04773,-118.237958
86,9,86,34.047856,-118.23796
87,9,87,34.047393,-118.237953
88,9,88,34.048121,-118.237964
89,9,89,34.047571,-118.237955
90,10,90,34.064264,-118.271731
91,10,91,34.064076,-118.271849
92,10,92,34.064312,-118.271701
93,10,93,34.064427,-118.271627
94,10,94,34.064377,-118.271661
95,10,95,34.064145,-118.271806
96,10,96,34.064495,-118.271584
97,10,97,34.064027,-118.27188
98,11,98,34.073828,-118.217891
99,11,99,34.073892,-118.217933
100,11,100,34.073943,-118.217963
101,12,101,34.07491,-118.217124
102,12,102,34.07518,-118.217291
103,12,103,34.07496,-118.217156
104,12,104,34.075134,-118.217263
105,13,105,34.075494,-118.216911
106,13,106,34.074876,-118.216897
107,13,107,34.074034,-118.216883
108,13,108,34.075369,-118.216909
109,13,109,34.073899,-118.216881
110,13,110,34.075695,-118.216914
111,13,111,34.074105,-118.216884
112,13,112,34.074548,-118.21689
113,13,113,34.074949,-118.216898
114,13,114,34.074826,-118.216895
115,13,115,34.074755,-118.216892
116,13,116,34.074707,-118.216893
117,13,117,34.074996,-118.216899
118,13,118,34.075747,-118.216914
119,13,119,34.075568,-118.216913
120,13,120,34.073842,-118.21688
121,13,121,34.075316,-118.216907
122,13,122,34.073976,-118.216882
123,13,123,34.075443,-118.21691
124,13,124,34.075621,-118.216914
125,13,125,34.075192,-118.216904
126,13,126,34.075245,-118.216905
127,14,127,34.076441,-118.215112
128,14,128,34.076439,-118.215184
129,14,129,34.076438,-118.215265
130,15,130,34.06463,-118.469166
131,16,131,34.064585,-118.469096
132,16,132,34.064552,-118.469044
133,17,133,34.066668,-118.469334
134,17,134,34.066661,-118.469834
135,17,135,34.066716,-118.469485
136,17,136,34.066547,-118.469135
137,17,137,34.066633,-118.46992
138,17,138,34.066373,-118.469077
139,17,139,34.066689,-118.469398
140,17,140,34.066094,-118.468996
141,17,141,34.06617,-118.469017
142,17,142,34.066423,-118.469094
143,17,143,34.066498,-118.469115
144,17,144,34.066726,-118.469542
145,18,145,34.066641,-118.469247
146,18,146,34.066611,-118.469188
147,19,147,34.072473,-118.365756
148,20,148,34.073481,-118.374143
149,21,149,34.037194,-118.258863
150,21,150,34.037351,-118.259103
151,21,151,34.037268,-118.258977
152,21,152,34.037039,-118.258627
153,21,153,34.03707,-118.258676
154,21,154,34.037382,-118.259153
155,21,155,34.037114,-118.258745
156,21,156,34.0373,-118.259026
157,21,157,34.037224,-118.258911
158,22,158,34.034899,-118.260582
159,22,159,34.035067,-118.260885
160,22,160,34.03483,-118.260455
161,22,161,34.034869,-118.260527
162,22,162,34.035099,-118.260942
163,22,163,34.034994,-118.260752
164,22,164,34.035023,-118.260802
165,22,165,34.035142,-118.261019
166,23,166,34.034043,-118.261705
167,23,167,34.033879,-118.26141
168,23,168,34.034016,-118.261656
169,23,169,34.03409,-118.261789
170,23,170,34.033972,-118.261577
171,23,171,34.033798,-118.261265
172,23,172,34.03412,-118.26184
173,24,173,34.033121,-118.261839
174,24,174,34.03342,-118.262375
175,24,175,34.033276,-118.262113
176,24,176,34.033194,-118.261965
177,24,177,34.033162,-118.261911
178,24,178,34.033391,-118.262323
179,24,179,34.033094,-118.261789
180,25,180,34.032585,-118.262761
181,25,181,34.032488,-118.262589
182,25,182,34.032626,-118.262833
183,25,183,34.032354,-118.26235
184,25,184,34.032557,-118.262711
185,25,185,34.032654,-118.262884
186,25,186,34.032383,-118.262401
187,25,187,34.032516,-118.262638
188,26,188,34.03193,-118.263342
189,26,189,34.031727,-118.262959
190,26,190,34.031893,-118.263273
191,26,191,34.031768,-118.263034
192,26,192,34.031699,-118.262907
193,26,193,34.031793,-118.263081
194,26,194,34.031961,-118.263398
195,27,195,34.107566,-118.195935
196,27,196,34.107606,-118.195963
197,27,197,34.107672,-118.196013
