make	alias
Acura	ACUR
Bentley	BENT
Buick	BUIC
Cadillac	CADI
Chevrolet	CHEV
Chrysler	CHRY
Dodge	DODG
Fiat	FIAT
Ford	FORD
Freightliner	FRHT,FRLI
Grumman	GRUM
Hino	HNO
Honda	HOND
Infinity	INFI
International	INTL
Isuzu	ISU,ISUZ
Jaguar	JAGU
Kenworth	KW
Land Rover	LNDR,RROV
Lexus	LEXS,LEXU
Maserati	MASE
Mazda	MAZD
Mercedes Benz	MERC,MBNZ,MBNZ,MERZ
Mini	MNNI
Mitsubishi	MITS
Nissan	NISS
Oldsmobile	OLDS
Peterbuilt	PTRB
Plymouth	PLYM
Pontiac	PONT
Porsche	PORS
Saab	SAA
Saturn	STRN
Smart	SMRT
Subaru	SUBA
Suzuki	SUZI,
Tesla	TSMR,TESL
Toyota	TOYT,TOYO
Volkswagon	VOLK,VW
Volvo	VOLV
Yamaha	YAMA
Hummer	HUMM
Geo	GEO
Lamborghini	LAMO
Bugatti	BUGA
Kawasaki	KAWK
Alfa Romero	ALFA
