vio_codes,vio_desc
22500B,PARKED IN CROSSWALK
22507.8B,DISABLED PARKING/OBS
80.69A+,STOP/STAND PROHIBIT
8.06E+05,YELLOW ZONE
22507.8B-,DISABLED PARKING/OBSTRUCT ACCESS
80.61,STANDNG IN ALLEY
80.66.1D,RESTRICTED TAXI ZONE
80.54,OVERNIGHT PARKING
8061#,STANDING IN ALLEY
80.69.1C,PK TRAILER
225001,PARK FIRE LANE
80.69D,VEH/LOAD OVR 6' HIGH
22500.1+,PARKED IN FIRE LANE
22507.8A-,DISABLED PARKING/NO DP ID
557,8755*
80.69BS,NO PARK/STREET CLEAN
22502E,18 IN. CURB/1 WAY
5200A,DSPLYPLATE A
22507.8A,DISABLED PARKING/NO
80692*,COMVEH RES/OV TM B-2
553,80581
22511.57B,DP- RO NOT PRESENT
80.69.4,PK OVERSIZ
80.75.1,AUDIBLE ALARM
5204A-,DISPLAY OF TABS
80.69C,PARKED OVER TIME LIMIT
80713,PARKING/FRONT YARD 1
22500K,PARKED ON BRIDGE
569,2251157A
88.03A,OUTSIDE LINES/METER
22522-,3 FT. SIDEWALK RAMP
22507.8C1,DISABLED PARKING/BOUNDARIES
8709D,LOADING ZONES
88.66,ELECTRIC CHARGING STATION SPACES
8070,PARK IN GRID LOCK ZN
88.63B+,OFF STR/OVERTIME/MTR
88.53,OFF STR MTR/OUT LINE
80692,COMVEH RES/OV TM LMT
17104H,LOAD/UNLOAD ONLY
80.58.1,CARSHARE PARKING
80.69AP+,STOP/STAND PROHIBIT
8.06E+04,WHITE ZONE
6344K2,NO PARKING BETWEEN POSTED HOURS
80.58L,PREFERENTIAL PARKING
80.53,PARKED IN PARKWAY
8069BS,NO PARK/STREET CLEAN
556,8755
5201,POSITION OF PLATES
8936,RED CURB
80.56E4+,RED ZONE
8061,STNDNG IN ALLEY
8056,YELLOW ZONE
80.72,RED FLAG DAY
22507A,OVERSIZED VEHICLE PARKING TOPHAM ST
22500L-,DP-BLKNG ACCESS RAMP
80661D,RESTRICTED ZONE
80.69AA+,STOP/STAND PROHIBIT
22500H,DOUBLE PARKING
572521D,MT FIRE RD NO PERMIT
87.55,FOR SALE SIGN
8813B,METER EXPIRED
31,22523A
5202,PERIOD OF DISPLAY
8069B,NO PARKING
22511.1B,PRK IN ELEC VEH SPACE
805.6,WHITE ZONE
8.06E+07,RED ZONE
22502A,18 IN. CURB/2 WAY
89391C,EXCEED TIME LMT
85.01,REPAIRING VEH/STREET
8069C,PKD OVER TIME LIMIT
80732,EXCEED 72 HOURS
8606,PK OTSD PSTD AR
8603,PK IN PROH AREA
89391A,STOP/STAND PROHB
8053,PKD IN/ON PARKWAY
8939,WHITE CURB
86.03,CITY PARK/PROHIB
80714#,PRIVATE PROPERTY
80.69.2,COMM VEH OVER TIME LIMIT
572521E,OBST FIRE RD
45,4000
80.7,NO STOPPING/ANTI-GRIDLOCK ZONE
8940,PARKING AREA
21113,PRKG PUBL GRNDS
80714,PRIVATE PROPERTY
80.49+,18 IN/CURB/COMM VEH
5204A,EXPIRED TAGS
8051A,LEFT SIDE OF ROADWAY
80692**,COMVEH RES/OV TM C-3
22507.8C2,DISABLED PARKING/CROSS HATCH
80.7,NO STOPPING/ANTI-GRIDLOCK ZONE
225078A,HANDICAP/NO DP ID
88.64A,TIME LIMIT/CITY LOT
8501,REPAIRING VEH/STREET
80.73.2,EXCEED 72HRS-ST
22511.56B,DP-REFUSE ID
8863B,OFF STR/OVERTIME/MTR
8.06E+03,YELLOW ZONE
8.06E+06,GREEN ZONE
80.71.3,PARKING/FRONT YARD
30,22522
8069A,NO STOPPING/STANDING
8058L,PREF PARKING
88.13B+,METER EXP.
22500A,WITHIN INTERSECTION
22507.8C,DISABLED PARKING/CRO
80.54H1,OVNIGHT PRK W/OUT PE
89355C,ILGL EXT OF TM
2251156B,MISUSE/DP PRIVILEGE
21211B,BLK BIKE PATH OR LANE
4000A1,NO EVIDENCE OF REG
22511.57,DP- RO NOT PRESENT
22500C,SAFETY ZONE/CURB
225078C2,HANDICAP/CROSS HATCH
6344K7,PARKING OUTSIDE PARKING STALLS
86.06,CITY PARK/PROHIB
22500E,BLOCKING DRIVEWAY
22500I-,PARKED IN BUS ZONE
80.69.1A,COMM TRAILER/22 FT.
225078C1,HANDICAP/ON LINE
80691C,PARKING UNHITCHED TR
22515,UNATT/MOTOR ON
5200,DISPLAY OF PLATES
17104C,R/PRIV PARKING AREA
22526,BLOCKING INTERSECTION
8.06E+02,WHITE ZONE
80691A,COMM TRAILER/22 FT.
571,2251157C
8709B,PARK-PSTD AREAS
22514,FIRE HYDRANT
29,22521
80.69B,NO PARKING
8803A,PK OUTSD SPACE
8049,WRG SD/NOT PRL
22500F,PARKED ON SIDEWALK
8072,PARK RED FLAG DAY
80.74,CLEANING VEH/STREET
8074,CLEANING VEH/STREET
8069AP,NO STOP/STAND PM
8073C,CATERING/CENTER CITY
8709K,PK OVR PNTD LNS
8.06E+04,GREEN ZONE
8943,PARK IN XWALK
22511.57C,DP-ALTERED
17,22502
21113A+,PUBLIC GROUNDS
80731,STORING VEH/ON STR
6344C,COMMERCIAL - UNDESIG
225078B,HANDICPD/BLOCKING
80.71.4,PRIVATE PROPERTY
8069AA,NO STOP/STAND AM
6344K8,SIGN POSTED - NO PARKING
