make	alias
Acura	ACUR,ACU
Alfa Romero	ALFA
Auburn	AUBU
Audi	AUDI
Bentley	BENT
Bugatti	BUGA
Buick	BUIC
Cadillac	CADI
Checker	CHEC
Chevrolet	CHEV
Chrysler	CHRY
Daewoo	DAEW
Daihatsu	DAIH
Datsun	DATS
Dodge	DODG
Ducati	DUCA
Ferrari	FERR
Fiat	FIAT
Fisker	FSKR
Ford	FORD
Freightliner	FRHT,FRLI,FREI,FREI,FRLN,FRTL
Geo Metro	GEO
Grumman	GRUM
Harley-Davidson	HD,HRLY,HARL
Hino	HNO,HINO
Honda	HOND
Hummer	HUMM,HUMR
Hyundai	HYND,HYUN,HYN,HYD,HYUD,HUND
Infinity	INFI,INF
International	INTL,INT,INTE
Isuzu	ISU,ISUZ
Jaguar	JAGU,JAG,JAGR
Jamboree	JAMB
Jeep	JEEP,WRAN
Kawasaki	KAWK,KAWA
Kenworth	KW,KENW
Kia	KIA
Lamborghini	LAMO,LAMB
Land Rover	LNDR,RROV,LROV,RANG,LAND,LROV,LRVR,ROVE,ROV,ROVR,RRVR
Lexus	LEXS,LEXU,LEX,LXUS
Lincoln	LINC
Mack	MACK
Maserati	MASE
Mazda	MAZD,MAZ,MADZ
Mercedes Benz	MBNZ,MBNZ,MERZ,BENZ,MBZ
Mini	MNNI,MINI
Mitsubishi	MITS,MITZ
Nissan	NISS
Oldsmobile	OLDS
Other	OTHR,OTHE
Peterbuilt	PTRB,PETE
Peugeot	PEUG
Plymouth	PLYM
Pontiac	PONT
Porsche	PORS,POR,PORC
Ram	RAM
Renault	RENA
Rolls-Royce	ROL,ROLL,ROLS
Saab	SAA,SAAB
Saturn	STRN,SATU,SAT,SATN,SATR
Scion	SCIO
Smart	SMRT,SMAR
Subaru	SUBA,SUB,SUBU
Suzuki	SUZI,SUZU,SUZ,SUZK
Tesla	TSMR,TESL,TSLA,TES
Tioga	TIOG
Toyota	TOYT,TOYO
Triumph	TRIU
Vespa	VESP
Volkswagen	VOLK,VW
Volvo	VOLV
Winnebago	WINN,WNBG
Yamaha	YAMA
Unknown	UNKN,UNK
